The Great Train Robbery
The Cabinet of Dr. Caligari
Das Cabinet des Dr. Caligari
Sherlock Jr.
Metropolis
The General
The Engine Driver
The Jazz Singer
Sunrise: A Song of Two Humans
Sunrise
The Unknown
Alonzo the Armless
Die Büchse der Pandora
Lulu
Pandora's Box
La passion de Jeanne d'Arc
The Passion of Joan of Arc
Un Chien Andalou
An Andalusian Dog
Un chien andalou
All Quiet on the Western Front
Der blaue Engel
The Blue Angel
Little Caesar
Dracula
Murders in the Rue Morgue
The Old Dark House
East of Shanghai
Rich and Strange
Three on a Match
3 on a Match
The Strange Adventure of David Gray
Not Against the Flesh
Vampyr
L'étrange aventure de David Gray
Adventures of David Gray
The Vampire
Vampyr, ou l'étrange aventure de David Gray
Castle of Doom
Baby Face
The Ghoul
Island of Lost Souls
The Island of Dr. Moreau
H.G. Wells' Island of Lost Souls
The Kennel Murder Case
Diamonds
Diamond Lady
She Done Him Wrong
Ruby Red
Diamond Lil
Son of Kong
The Son of Kong
The Black Cat
The Vanishing Body
Cleopatra
Maniac
Sex Maniac
Dwain Esper's Maniac
Of Human Bondage
The Scarlet Pimpernel
Mutiny on the Bounty
After the Thin Man
The Great Ziegfeld
Modern Times
The Masses
The Petrified Forest
Petrified Forest
Reefer Madness
Tell Your Children
The Burning Question
Dope Addict
Doped Youth
Love Madness
Dead End: Cradle of Crime
Dead End
Lost Horizon of Shangri-La
Lost Horizon
My Favorite Wife
The Prisoner of Zenda
Blancanieves y los siete enanos
Walt Disney's Snow White and the Seven Dwarfs
Snow White and the Seven Dwarfs
Sneeuwwitje en de zeven dwergen
Topper
Way Out West
You Only Live Once
Three Time Loser
Young and Innocent
The Girl Was Young
Coins for Candles
The Adventures of Robin Hood
Dark Victory
Dodge City
The Gorilla
The Hound of the Baskervilles
Jesse James
Darryl F. Zanuck's Production of Jesse James
Ninotchka
Of Mice and Men
The Wizard of Oz
The Women
Gorilla
The Ape
Foreign Correspondent
Personal History
Imposter
The Ghost Breakers
The Mark of Zorro
The Californian
Stranger on the Third Floor
They Drive by Night
All That Money Can Buy
Daniel and the Devil
Mr. Scratch
Here Is a Man
A Certain Mr. Scratch
The Devil and Daniel Webster
Dumbo
Dumbo the Flying Elephant
Walt Disney's Dumbo
49th Parallel
The Invaders
The Great Lie
Far Horizon
Women of the World
January Heights
I Wake Up Screaming
Hot Spot
Johnny Eager
The Lady Eve
The Maltese Falcon
The Knight of Malta
The Gent from Frisco
They Died with Their Boots On
To the Last Man
Rafael Sabatini's The Black Swan
The Black Swan
The Cat People
Cat People
Holiday Inn
Irving Berlin's Holiday Inn
In This Our Life
Kings Row
The Magnificent Ambersons
The Palm Beach Story
To Be or Not to Be
Dead Men Walk
Five Graves to Cairo
Frankenstein Meets the Wolfman
Frankenstein Meets the Wolf Man
The Ghost Ship
Ghost Ship
Heaven Can Wait
Uncle Charlie
Shadow of a Doubt
Shadow of Doubt
Sherlock Holmes Faces Death
Franz Werfel's The Song of Bernadette
The Song of Bernadette
Ministry of Fear
The Monster Maker
The Devil's Apprentice
Mr. Skeffington
National Velvet
Anchors Aweigh
Brief Encounter
House of Dracula
Dracula vs. The Wolf Man
The Wolf Man's Cure
The Wolf Man vs. Dracula
They Were Expendable
Sherlock Holmes: The Woman in Green
Sherlock Holmes and the Woman in Green
The Woman in Green
Invitation to Death
Invitation to Murder
Angel on My Shoulder
Me and Satan
The Big Sleep
The Blue Dahlia
Decoy
Prelude to Murder
Dressed to Kill
Sherlock Holmes in Dressed to Kill
Sherlock Holmes: Dressed to Kill
Gilda
Humoresque
It's a Wonderful Life
The Greatest Gift
Frank Capra's It's a Wonderful Life
A Man Alone
The Killers
Ernest Hemingway's The Killers
Stairway to Heaven
A Matter of Life and Death
Bar-B-Q
The Postman Always Rings Twice
