Jennifer Jason Leigh
Jack Lemmon
Robert Sean Leonard
Téa Leoni
Juliette Lewis
Matthew Lillard
Bai Ling
Richard Linklater
Ray Liotta
Christopher Lloyd
Amy Locane
Julia Louis-Dreyfus
Rob Lowe
Bela Lugosi
Andie MacDowell
Shirley MacLaine
William H. Macy
Michael Madsen
Virginia Madsen
Terrence Malick
John Malkovich
David Mamet
Michael Mann
Julianna Margulies
Mary Stuart Masterson
Heather Matarazzo
Samantha Mathis
Walter Matthau
Mathilda May
Andrew McCarthy
Frances McDormand
Malcolm McDowell
Kelly McGillis
Dina Meyer
Bette Midler
Penelope Ann Miller
Sal Mineo
Helen Mirren
Matthew Modine
Alfred Molina
Roger Moore
Dermot Mulroney
Eddie Murphy
Liam Neeson
Sam Neill
Brigitte Nielsen
Leslie Nielsen
Leonard Nimoy
Nick Nolte
Chris O'Donnell
Peter O'Toole
Julia Ormond
George Orwell
Frank Oz
Gwyneth Paltrow
Alan Parker
Mary-Louise Parker
Sarah Jessica Parker
Dolly Parton
Jason Patric
Alexandra Paul
Sean Penn
George Peppard
Anthony Perkins
Ron Perlman
Joseph L. Mankiewicz
Joe Pesci
Jada Pinkett Smith
Donald Pleasence
Edgar Allan Poe
Roman Polanski
Pete Postlethwaite
Kelly Preston
Jonathan Pryce
Bill Pullman
Dennis Quaid
Kathleen Quinlan
Sam Raimi
Harold Ramis
Robert Redford
Vanessa Redgrave
John C. Reilly
Brad Renfro
Jean Reno
Ving Rhames
Denise Richards
Joely Richardson
Alan Rickman
John Ritter
Eric Roberts
Tanya Roberts
Isabella Rossellini
Tim Roth
Mickey Rourke
Kurt Russell
Rene Russo
John Sayles
Greta Scacchi
Liev Schreiber
Ridley Scott
Jerry Seinfeld
Tom Selleck
Peter Sellers
William Shakespeare
William Shatner
Martin Sheen
Gary Sinise
Tom Skerritt
Wesley Snipes
Sissy Spacek
James Spader
Brent Spiner
Terence Stamp
Eric Stoltz
Madeleine Stowe
David Strathairn
Meryl Streep
Barbra Streisand
Donald Sutherland
Kiefer Sutherland
Patrick Swayze
D.B. Sweeney
Lili Taylor
Emma Thompson
Lea Thompson
Billy Bob Thornton
Marisa Tomei
Jeanne Tripplehorn
Robin Tunney
Kathleen Turner
