# id,beta
457,1.00360
458,1.00128
459,10.02816
460,1.14271
461,3.12890
462,13.96981
463,4.27462
464,2.68789
465,1.67954
466,2.48020
467,1.11119
468,1.19242
469,1.85908
470,27.06073
471,6.12942
472,2.03734
473,2.03563
474,2.51390
475,1.37531
476,1.08122
477,4.70605
478,1.02853
479,6.33137
480,1.20265
481,4.86831
482,5.35814
483,2.55746
484,1.52953
485,2.36182
486,4.76845
487,1.08358
488,2.29567
489,2.26204
490,4.17366
491,1.11920
492,2.05882
493,2.12242
494,2.56829
495,1.68259
496,1.50186
497,1.38525
498,1.97102
499,2.58770
500,2.26021
501,2.20650
502,4.13022
503,1.29644
504,1.37601
505,3.37172
506,2.24041
507,1.38501
508,1.18686
509,1.86300
510,2.62261
511,1.30032
512,1.23408
513,2.76786
514,1.00848
515,16.27036
516,1.00916
517,1.00684
518,1.00140
519,10.91717
520,1.17268
521,1.01602
522,3.26938
523,3.86986
524,1.64513
525,2.37369
526,13.53062
527,1.39328
528,1.46149
529,19.92320
530,1.52708
531,9.36497
532,1.19780
533,7.47030
534,1.00728
535,6.77981
536,1.06311
537,1.01119
538,3.93936
539,1.53663
540,3.22306
541,1.00704
542,1.00672
543,4.82791
544,1.00329
545,8.17051
546,3.32590
547,5.05344
548,1.06843
549,1.00257
550,1.00155
551,4.16881
552,1.26699
553,6.12414
554,11.76972
555,6.03481
556,1.04924
557,1.21798
558,1.00428
559,8.91067
560,1.06027
561,2.30162
562,42.03237
563,5.19719
564,1.46094
565,3.03488
566,1.40063
567,3.82213
568,1.95341
569,6.00569
570,1.84546
571,1.94804
572,1.47199
573,3.35787
574,2.02904
575,11.71157
576,2.42571
577,21.02467
578,1.00270
579,7.00312
580,1.00739
581,1.00105
582,1.00100
583,2.06364
584,1.00100
585,1.47475
586,1.54903
587,1.98208
588,1.33768
589,2.70645
590,3.68889
591,2.18472
592,2.50135
593,1.93694
594,1.01577
595,3.24536
596,1.21836
597,5.18231
598,7.40732
599,5.62544
600,2.90617
601,5.60167
602,8.26977
603,4.89514
604,2.26352
605,9.62143
606,1.90212
607,4.03589
608,1.68255
609,2.90329
610,3.14353
611,1.23431
612,1.73128
613,2.52239
614,2.03643
615,1.23369
616,1.26571
617,2.41967
618,1.63155
619,1.13157
620,1.21450
621,3.13770
622,13.16336
623,5.19340
624,1.06549
625,1.67643
626,3.28072
627,1.68676
628,1.02620
629,1.25324
630,6.14420
631,4.35138
632,1.13095
633,1.95484
634,2.94890
635,3.47568
636,1.38751
637,2.29203
638,1.01881
639,1.73345
640,1.72022
641,1.18470
642,2.64730
643,1.16343
644,1.47092
645,1.47806
646,2.73856
647,16.93660
648,1.00766
649,1.10966
650,44.56770
651,1.71565
652,1.07828
653,3.14653
654,10.68346
655,3.18102
656,1.92903
657,2.02760
658,4.42298
659,1.84881
660,1.25590
661,2.26412
662,2.64631
663,1.05016
664,2.22804
665,1.29599
666,2.17600
667,1.05902
668,1.18598
669,1.69652
670,1.89810
671,1.98181
672,1.41610
673,1.82678
674,11.21765
675,1.62558
676,1.32777
677,3.21646
678,6.95870
679,3.72184
680,1.43256
681,1.81329
682,3.63514
683,1.23289
684,1.28037
685,2.05452
686,2.27314
687,1.33631
688,1.87294
689,2.42213
690,8.03718
691,1.78399
692,1.01251
693,2.57027
694,2.30654
695,1.81347
696,1.24662
697,1.35728
698,2.10738
699,1.16469
700,1.06537
701,1.57155
702,4.04470
703,1.20445
704,1.25438
705,5.05457
706,14.24379
707,1.80164
708,1.60487
709,1.36290
710,1.45278
711,1.23253
712,1.23954
713,2.75162
714,3.84761
715,1.56521
716,3.04753
717,13.75424
718,1.51627
719,4.46345
720,2.56999
721,1.74561
722,2.21089
723,1.42474
724,1.10168
725,1.30760
726,1.57118
727,1.09116
728,1.03669
729,1.00182
730,3.39830
731,3.37812
732,1.00723
733,1.37242
734,1.53323
735,1.35549
736,1.34812
737,2.18294
738,1.42912
739,2.85561
740,1.70697
741,8.48640
742,55.79201
743,5.51342
744,4.61905
745,5.28802
746,3.78070
747,2.81636
748,1.98555
749,1.51384
750,3.35023
751,1.16535
752,1.26893
753,2.12798
754,4.34659
755,1.13948
756,1.23306
757,5.32264
758,21.23735
759,7.02126
760,1.17266
761,1.00726
762,1.00458
763,4.55562
764,1.01812
765,1.87945
766,2.39026
767,2.07965
768,1.27842
769,2.93484
770,2.74905
771,3.27407
772,1.70493
773,3.52832
774,16.04497
775,1.46524
776,1.36124
777,1.75564
778,1.01523
779,2.54438
780,1.58014
781,1.45699
782,2.50538
783,1.23087
784,1.40411
785,1.24476
786,2.94425
787,0.98079
788,1.13348
789,1.00803
790,3.23277
791,8.64391
792,1.54218
793,1.63488
794,1.88235
795,6.94777
796,1.27249
797,2.64251
798,3.29087
799,1.31747
800,1.30158
801,1.07225
802,2.33034
803,3.06958
804,1.48226
805,2.54933
806,2.96126
807,1.60561
808,1.18841
809,1.52348
810,3.53054
811,3.03369
812,1.29249
813,1.47926
814,1.42731
815,1.00100
816,1.28973
817,1.42165
818,2.06244
819,5.31821
820,1.01473
821,4.81447
822,1.33762
823,2.13136
824,1.23144
825,1.01877
826,1.86835
827,2.13239
828,1.12172
829,2.78678
830,5.05577
831,2.89198
832,1.30136
833,13.24256
834,4.85351
835,3.35799
836,2.49312
837,1.33885
838,1.44012
839,1.64156
840,1.19306
841,1.87305
842,1.63779
843,1.09315
844,1.18663
845,1.72444
846,3.55709
847,2.28959
848,1.29224
849,1.41880
850,1.98309
851,1.41969
852,1.31538
853,1.70317
854,3.06291
855,1.35759
856,1.21573
857,3.24703
858,2.13577
859,1.66499
