# id,z
1,0.02983,0.09069,0.87949
2,0.00883,0.01327,0.97790
3,0.02408,0.04946,0.92646
4,0.31717,0.31330,0.36953
5,0.17286,0.25027,0.57687
6,0.00047,0.00089,0.99864
7,0.02833,0.03310,0.93858
8,0.19208,0.50631,0.30161
9,0.00001,0.00006,0.99993
10,0.00000,0.00000,1.00000
11,0.00002,0.00060,0.99938
12,0.00009,0.99970,0.00022
13,0.22428,0.43921,0.33651
14,0.05213,0.05856,0.88932
15,0.35398,0.32331,0.32271
16,0.22943,0.47520,0.29537
17,0.00156,0.05373,0.94471
18,0.05277,0.00802,0.93921
19,0.00129,0.94039,0.05832
20,0.00000,1.00000,0.00000
21,0.25037,0.42234,0.32729
22,0.08639,0.08951,0.82411
23,0.36907,0.30334,0.32759
24,0.19298,0.56730,0.23971
25,0.99614,0.00093,0.00292
26,0.98816,0.00451,0.00734
27,0.00010,0.00196,0.99793
28,0.98383,0.00096,0.01521
29,0.99969,0.00003,0.00028
30,0.99993,0.00004,0.00003
31,0.00000,0.00000,1.00000
32,0.99999,0.00000,0.00001
33,0.00000,0.00000,1.00000
34,0.00000,0.00000,1.00000
35,0.00000,0.00000,1.00000
36,0.99849,0.00054,0.00097
37,0.05849,0.06989,0.87162
38,0.02962,0.06408,0.90630
39,0.32133,0.23216,0.44651
40,0.21827,0.55182,0.22990
41,0.00005,0.00016,0.99979
42,0.00000,0.00002,0.99998
43,0.17456,0.32487,0.50057
44,0.06840,0.61607,0.31553
45,0.43551,0.20233,0.36216
46,0.01601,0.01783,0.96616
47,0.30684,0.30290,0.39026
48,0.34581,0.37995,0.27424
49,0.00138,0.00887,0.98975
50,0.00006,0.47576,0.52418
51,0.00149,0.83564,0.16287
52,0.00000,1.00000,0.00000
53,0.20344,0.67453,0.12203
54,0.08782,0.51451,0.39767
55,0.46048,0.21670,0.32282
56,0.19008,0.68098,0.12894
57,0.09500,0.30152,0.60348
58,0.00002,0.00006,0.99992
59,0.34989,0.31789,0.33222
60,0.08795,0.81855,0.09349
61,0.00113,0.22360,0.77527
62,0.00004,0.00098,0.99898
63,0.02046,0.05251,0.92702
64,0.00001,0.99987,0.00013
65,0.41081,0.58732,0.00187
66,0.00010,0.61617,0.38373
67,0.01042,0.16509,0.82449
68,0.00000,1.00000,0.00000
69,0.00108,0.00357,0.99535
70,0.00002,0.00002,0.99996
71,0.09155,0.10189,0.80656
72,0.27294,0.47248,0.25458
73,0.00989,0.33804,0.65207
74,0.00053,0.01363,0.98584
