2920 58 58 3
17 15 [0.44107781 0.35510379 0.20381841] 
0 12 [0.28588327 0.48669909 0.22741764] 
0 13 [0.0, 0.0, 0.0] 
0 14 [0.22872246 0.43230067 0.33897687] 
0 15 [0.06367641 0.45032315 0.48600044] 
22 12 [0.0, 0.0, 0.0] 
22 13 [0.0, 0.0, 0.0] 
22 14 [0.0, 0.0, 0.0] 
22 15 [0.18610644 0.40376303 0.41013053] 
18 12 [0.0, 0.0, 0.0] 
18 13 [0.0, 0.0, 0.0] 
18 14 [0.0, 0.0, 0.0] 
18 15 [0.09306242 0.42822279 0.47871479] 
5 12 [0.05976094 0.45941965 0.48081941] 
5 13 [0.0, 0.0, 0.0] 
5 14 [0.1645405  0.46956711 0.36589239] 
5 15 [0.0, 0.0, 0.0] 
23 12 [0.0, 0.0, 0.0] 
23 13 [0.0, 0.0, 0.0] 
23 14 [0.25583149 0.42466905 0.31949946] 
23 15 [0.15724224 0.47420248 0.36855529] 
13 12 [0.28896561 0.43806158 0.2729728 ] 
13 13 [0.0, 0.0, 0.0] 
13 14 [0.0, 0.0, 0.0] 
13 15 [0.07117079 0.44124736 0.48758184] 
20 12 [0.07981638 0.43976218 0.48042144] 
20 13 [0.0, 0.0, 0.0] 
20 14 [0.55693035 0.32308644 0.11998321] 
20 15 [0.40681248 0.32518431 0.26800321] 
24 12 [0.74812322 0.18774951 0.06412727] 
24 13 [0.0, 0.0, 0.0] 
24 14 [0.24467379 0.46456822 0.29075799] 
24 15 [0.31719569 0.43837703 0.24442728] 
25 12 [0.34248956 0.40138705 0.25612339] 
25 13 [0.0, 0.0, 0.0] 
25 14 [0.318574   0.41917625 0.26224975] 
25 15 [0.12726991 0.42198594 0.45074415] 
26 12 [0.0, 0.0, 0.0] 
26 13 [0.0, 0.0, 0.0] 
26 14 [0.0, 0.0, 0.0] 
26 15 [0.05735962 0.45648943 0.48615096] 
7 12 [0.0, 0.0, 0.0] 
7 13 [0.0, 0.0, 0.0] 
7 14 [0.20671017 0.42200471 0.37128511] 
7 15 [0.0, 0.0, 0.0] 
8 12 [0.0, 0.0, 0.0] 
8 13 [0.0, 0.0, 0.0] 
8 14 [0.18499489 0.4145203  0.40048481] 
8 15 [0.17205661 0.41033027 0.41761312] 
27 12 [0.0, 0.0, 0.0] 
27 13 [0.14301837 0.40626742 0.45071421] 
27 14 [0.232533   0.39950393 0.36796307] 
27 15 [0.0, 0.0, 0.0] 
16 16 [0.20638126 0.39522753 0.39839121] 
16 17 [0.06607723 0.44638041 0.48754236] 
16 18 [0.24732375 0.42038375 0.33229251] 
16 19 [0.15647985 0.42558549 0.41793466] 
0 16 [0.0719503  0.45431074 0.47373896] 
0 17 [0.12779698 0.45069442 0.42150861] 
0 18 [0.04795431 0.46820437 0.48384132] 
0 19 [0.08975522 0.45568977 0.45455501] 
28 16 [0.07222232 0.44063104 0.48714665] 
28 17 [0.0, 0.0, 0.0] 
28 18 [0.0, 0.0, 0.0] 
28 19 [0.07916381 0.45252726 0.46830894] 
29 16 [0.0, 0.0, 0.0] 
29 17 [0.0, 0.0, 0.0] 
29 18 [0.16621192 0.52854506 0.30524303] 
29 19 [0.03136538 0.48495212 0.4836825 ] 
30 16 [0.0, 0.0, 0.0] 
30 17 [0.0, 0.0, 0.0] 
30 18 [0.10697454 0.44011566 0.4529098 ] 
30 19 [0.11094748 0.43991444 0.44913809] 
31 16 [0.03749685 0.47611148 0.48639167] 
31 17 [0.15797313 0.43037254 0.41165433] 
31 18 [0.0, 0.0, 0.0] 
31 19 [0.05394373 0.4715049  0.47455138] 
20 16 [0.05434881 0.46139988 0.48425131] 
20 17 [0.0, 0.0, 0.0] 
20 18 [0.10767295 0.42201354 0.47031352] 
20 19 [0.08619059 0.4504759  0.46333352] 
32 16 [0.0653201 0.4511751 0.4835048] 
32 17 [0.0, 0.0, 0.0] 
32 18 [0.24217907 0.44039276 0.31742818] 
32 19 [0.56287085 0.33963697 0.09749218] 
33 16 [0.05234672 0.46332989 0.48432339] 
33 17 [0.0, 0.0, 0.0] 
33 18 [0.0, 0.0, 0.0] 
33 19 [0.02337942 0.48660039 0.49002018] 
34 16 [0.02623082 0.48534404 0.48842514] 
34 17 [0.0, 0.0, 0.0] 
34 18 [0.08396723 0.43435291 0.48167986] 
34 19 [0.0, 0.0, 0.0] 
8 16 [0.14574655 0.42752906 0.42672439] 
8 17 [0.0, 0.0, 0.0] 
8 18 [0.16972203 0.4274583  0.40281967] 
8 19 [0.07027772 0.44092222 0.48880006] 
29 20 [0.0, 0.0, 0.0] 
29 21 [0.0, 0.0, 0.0] 
29 22 [0.13535962 0.43593026 0.42871012] 
29 23 [0.12304885 0.48524668 0.39170447] 
2 20 [0.0, 0.0, 0.0] 
2 21 [0.0, 0.0, 0.0] 
2 22 [0.14669338 0.43723215 0.41607447] 
2 23 [0.07602613 0.44913555 0.47483832] 
30 20 [0.05471146 0.46163479 0.48365376] 
30 21 [0.0, 0.0, 0.0] 
30 22 [0.08820537 0.45145139 0.46034324] 
30 23 [0.23836822 0.43913393 0.32249785] 
18 20 [0.0, 0.0, 0.0] 
18 21 [0.0, 0.0, 0.0] 
18 22 [0.15865998 0.50396144 0.33737858] 
18 23 [0.0832029  0.44596447 0.47083263] 
3 20 [0.0, 0.0, 0.0] 
3 21 [0.0, 0.0, 0.0] 
3 22 [0.0, 0.0, 0.0] 
3 23 [0.22270908 0.42235691 0.35493401] 
5 20 [0.0, 0.0, 0.0] 
5 21 [0.09545703 0.42090978 0.48363319] 
5 22 [0.0, 0.0, 0.0] 
5 23 [0.07144647 0.44693069 0.48162284] 
35 20 [0.06811576 0.4680987  0.46378555] 
35 21 [0.0, 0.0, 0.0] 
35 22 [0.58202812 0.32623226 0.09173962] 
35 23 [0.0, 0.0, 0.0] 
20 20 [0.06678283 0.45357266 0.4796445 ] 
20 21 [0.0, 0.0, 0.0] 
20 22 [0.13751726 0.42275857 0.43972417] 
20 23 [0.0, 0.0, 0.0] 
36 20 [0.0, 0.0, 0.0] 
36 21 [0.0, 0.0, 0.0] 
36 22 [0.59086784 0.31912445 0.09000771] 
36 23 [0.05411541 0.46530651 0.48057808] 
32 20 [0.15566378 0.42358597 0.42075025] 
32 21 [0.0, 0.0, 0.0] 
32 22 [0.06281964 0.45151728 0.48566308] 
32 23 [0.0, 0.0, 0.0] 
33 20 [0.20124698 0.40139552 0.3973575 ] 
33 21 [0.0, 0.0, 0.0] 
33 22 [0.1415015  0.43495822 0.42354029] 
33 23 [0.08809175 0.45548488 0.45642337] 
21 20 [0.0, 0.0, 0.0] 
21 21 [0.0, 0.0, 0.0] 
21 22 [0.20316317 0.38145577 0.41538106] 
21 23 [0.0, 0.0, 0.0] 
0 24 [0.259819   0.40503251 0.33514849] 
0 25 [0.0, 0.0, 0.0] 
0 26 [0.58484617 0.32622298 0.08893085] 
0 27 [0.0, 0.0, 0.0] 
29 24 [0.08428591 0.45168647 0.46402762] 
29 25 [0.0, 0.0, 0.0] 
29 26 [0.1632219  0.39084629 0.44593181] 
29 27 [0.05964422 0.47524936 0.46510642] 
22 24 [0.0, 0.0, 0.0] 
22 25 [0.0, 0.0, 0.0] 
22 26 [0.11476682 0.43842336 0.44680981] 
22 27 [0.06830456 0.45689977 0.47479567] 
18 24 [0.0, 0.0, 0.0] 
18 25 [0.0, 0.0, 0.0] 
18 26 [0.08435611 0.46029739 0.4553465 ] 
18 27 [0.07014148 0.451249   0.47860953] 
20 24 [0.0, 0.0, 0.0] 
20 25 [0.0, 0.0, 0.0] 
20 26 [0.0, 0.0, 0.0] 
20 27 [0.06129348 0.45595696 0.48274956] 
36 24 [0.0, 0.0, 0.0] 
36 25 [0.06255238 0.4603845  0.47706312] 
36 26 [0.1724202  0.43670604 0.39087376] 
36 27 [0.20036981 0.44002998 0.35960021] 
37 24 [0.25507436 0.45298935 0.29193629] 
37 25 [0.18397834 0.44048836 0.37553329] 
37 26 [0.05630031 0.45804443 0.48565526] 
37 27 [0.26373704 0.41776558 0.31849739] 
33 24 [0.0, 0.0, 0.0] 
33 25 [0.0, 0.0, 0.0] 
33 26 [0.15164635 0.43941266 0.40894099] 
33 27 [0.13758024 0.41826293 0.44415683] 
34 24 [0.22920391 0.41766018 0.35313591] 
