# id,alpha
606,2.20471
607,3.18779
608,1.83194
609,7.51056
610,3.16741
611,3.71628
612,3.17025
613,3.03532
614,2.77877
615,3.58482
616,3.54611
617,4.48297
618,2.33510
619,2.20019
620,2.43592
621,2.69794
622,3.04251
623,4.25318
624,2.50758
625,3.01435
626,3.38347
627,3.43953
628,2.55593
629,5.36340
630,2.51756
631,3.25268
632,3.71356
633,1.99824
634,3.86319
635,4.21008
636,2.94574
637,1.85834
638,2.82350
639,2.96980
640,2.83314
641,3.69605
642,7.67639
643,3.21489
644,3.37907
645,4.40622
646,3.54192
647,2.39322
648,2.24213
649,3.07098
650,3.25221
651,3.78057
652,2.37466
653,3.07811
654,7.07340
655,1.53427
656,6.85318
657,2.98650
658,4.41594
659,3.17390
660,2.88757
661,3.27756
662,2.90519
663,2.25778
664,3.84388
665,1.56881
666,3.74908
667,3.39607
668,2.93214
669,3.53204
670,3.98261
671,2.70262
672,6.77661
673,2.69865
674,3.16345
675,3.74514
676,3.30076
677,2.47260
678,3.69170
679,2.97394
680,3.28052
681,3.94191
682,2.37181
683,2.84969
684,3.43236
685,2.83447
686,3.34733
687,2.81238
688,3.69917
689,2.29193
690,2.43879
691,3.65366
692,2.51336
693,2.83416
694,2.62818
695,3.41634
696,4.01191
697,3.56095
698,2.19500
699,2.27677
700,2.72081
701,2.80360
702,3.31121
703,2.20612
704,2.57672
705,3.07365
706,3.16466
707,2.75171
708,2.36205
709,5.66951
710,5.98759
711,2.46232
712,2.23072
713,2.39685
714,2.27852
715,3.12860
716,2.61061
717,2.33104
718,2.66131
719,3.43817
720,1.75584
721,2.98271
722,3.19297
723,2.02435
724,3.35755
725,3.24707
726,2.49841
727,4.17629
728,2.47642
729,4.15800
730,2.56596
731,1.99901
732,2.66775
733,3.25085
734,2.98657
735,3.66617
736,3.47487
737,3.20751
738,2.29885
739,2.97832
740,6.32296
741,5.41313
742,2.44900
743,2.58240
744,5.39150
745,2.22368
746,3.33227
747,2.44949
748,2.90982
749,3.10004
750,4.37439
751,2.74916
752,2.37545
753,2.97753
754,3.77320
755,3.19236
756,3.30706
757,3.02086
758,3.81735
759,3.75812
760,3.64531
761,3.34269
762,3.20394
763,2.16298
764,3.40127
765,3.54158
766,2.86759
767,1.48205
768,3.67317
769,6.09833
770,3.70888
771,4.44983
772,2.19603
773,6.72174
774,2.12612
775,6.52909
776,1.99485
777,1.71031
778,1.49632
779,3.21517
780,3.93258
781,3.36810
782,3.33252
783,2.50121
784,2.53950
785,3.06741
786,2.14134
787,4.09071
788,3.63723
789,2.81356
790,1.73497
791,2.03883
792,1.79079
793,1.94583
794,2.14428
795,2.61505
796,4.30316
797,2.57760
798,3.33571
799,3.09133
800,3.54045
801,6.25566
802,2.03337
803,2.22547
804,2.30208
805,2.92608
806,3.51260
807,3.62218
808,2.34541
809,3.40869
810,4.31800
811,3.36165
812,4.45280
813,2.03352
814,1.91119
815,3.03004
816,2.98272
817,2.79753
818,2.95111
819,2.78481
820,2.47548
821,4.51764
822,3.35151
823,4.16190
824,2.89860
825,3.30732
826,2.59347
827,3.21081
828,2.75109
829,4.80951
830,3.31276
831,1.48882
832,2.21325
833,4.02597
834,3.96336
835,3.14904
836,3.25874
837,2.75786
838,2.31659
839,3.02942
840,2.26198
841,3.68906
842,3.19233
843,1.84789
844,3.51862
845,3.28802
846,2.74615
847,3.93484
848,2.95190
849,3.48648
850,2.79160
851,5.58248
852,3.36572
853,2.14051
854,1.50699
855,1.55186
856,2.06150
857,2.28018
858,4.16314
859,3.28277
860,3.40919
861,4.23083
862,2.76865
863,8.25411
864,3.52281
865,3.77940
866,2.92860
867,2.86191
868,2.80131
869,1.93768
870,3.24319
871,2.54285
872,3.06034
873,3.72103
874,2.93924
875,3.43816
876,3.52849
877,1.88974
878,4.14841
879,3.00109
880,2.64559
881,3.82709
882,2.23790
883,2.12134
884,2.79558
885,2.17488
886,8.31272
887,1.65671
888,4.64887
889,3.06834
890,6.58701
891,2.83712
892,5.12841
893,2.63782
894,3.00963
895,2.86001
896,5.70720
897,3.27934
898,3.50841
899,3.74309
900,3.67137
901,3.55311
902,2.01463
903,1.91021
904,1.63711
905,6.00193
906,6.91015
907,3.16202
908,4.58597
909,2.74597
910,2.48713
911,2.04157
912,2.52151
913,3.52532
914,4.29944
915,2.57198
916,3.07274
917,3.78329
918,2.70624
919,3.14804
920,2.49349
921,7.32156
922,2.36638
923,5.46066
924,3.43507
925,3.93128
926,1.88116
927,3.43540
928,2.82388
929,6.52324
930,2.95888
931,2.50204
932,2.86154
933,3.82273
934,2.85904
935,2.33331
936,2.50887
937,2.48541
938,2.37336
939,3.48210
940,4.44815
941,1.68271
942,4.25592
943,3.31826
944,3.58629
945,3.40039
946,2.39803
947,2.77914
948,6.62237
949,3.20124
950,3.58242
951,2.71277
952,3.44060
953,3.05886
954,2.69605
955,2.83030
956,2.58691
957,4.49322
958,2.42121
959,2.53899
960,8.61768
961,2.61846
962,3.37057
963,2.59159
964,2.87543
965,2.51970
966,2.99073
967,2.91891
968,2.61568
969,3.49273
970,2.67065
971,2.43240
972,6.63925
973,4.00427
974,4.93099
975,2.11728
976,3.81167
977,4.34168
978,2.43592
979,2.71753
980,3.34890
981,2.17152
982,3.86480
983,2.24179
984,5.18963
985,2.41328
986,4.51662
987,3.18808
988,1.98801
989,2.71593
990,2.52336
991,1.59533
992,3.69119
993,2.39952
994,4.16079
995,2.94217
996,3.41721
997,4.02139
998,1.74273
999,2.90179
1000,3.18769
1001,4.62850
1002,3.40708
1003,1.69475
1004,1.34590
1005,2.98442
1006,3.13890
1007,3.77089
1008,2.58368
1009,2.68720
1010,3.26154
1011,2.97473
1012,3.01839
1013,3.56558
1014,3.06353
1015,1.45587
1016,4.03191
1017,3.98445
1018,4.08135
1019,4.59578
1020,3.74040
1021,2.39527
1022,4.16695
1023,2.16722
1024,2.55211
1025,2.82627
1026,2.32872
1027,2.17644
1028,2.26508
1029,3.28261
1030,4.10730
1031,3.20414
1032,3.30757
1033,3.11685
1034,2.72058
1035,2.78308
1036,1.52165
1037,5.65404
1038,3.19555
1039,3.07655
1040,4.46422
1041,3.16721
1042,3.90449
1043,3.82889
1044,6.22757
1045,8.16803
1046,3.36610
1047,2.69519
1048,1.75713
1049,4.48995
1050,2.78900
1051,3.38637
1052,4.90735
1053,2.89499
1054,8.29030
1055,4.27281
1056,1.82132
1057,2.53307
1058,2.50264
1059,4.02739
1060,6.20908
1061,3.49748
1062,4.00717
1063,2.91195
1064,2.93732
1065,4.13248
1066,2.36353
1067,3.30166
1068,2.53443
1069,2.97548
1070,4.96819
1071,5.19437
1072,4.39147
1073,3.15882
1074,2.97497
1075,2.97475
1076,2.41330
1077,5.25832
1078,2.36309
1079,2.61390
1080,3.03290
1081,2.79714
1082,2.95410
1083,2.49208
1084,2.36433
1085,3.23496
1086,1.88342
1087,3.15665
1088,2.88085
1089,2.69764
1090,2.11899
1091,3.25959
1092,2.77018
1093,4.38864
1094,2.56685
1095,3.46565
1096,2.31789
1097,2.83457
1098,3.26339
1099,4.46230
1100,3.07683
1101,3.01307
1102,2.28747
1103,3.50181
1104,3.86077
1105,1.59050
1106,3.97076
1107,2.87459
1108,3.14358
1109,3.35758
1110,3.32276
1111,1.76634
1112,2.68593
1113,3.18982
1114,2.15590
1115,2.74858
1116,2.28632
1117,2.39349
1118,2.94783
1119,8.72075
1120,3.45542
1121,4.04413
1122,2.03669
1123,4.18431
1124,2.75495
1125,6.98573
1126,3.66591
1127,3.27180
1128,8.43255
1129,2.70109
1130,3.10179
1131,3.62663
1132,2.08421
1133,3.50140
1134,2.90524
1135,3.36204
1136,3.46840
1137,3.87794
1138,2.18159
1139,3.32262
1140,2.99659
1141,2.65763
1142,1.67934
1143,2.05974
1144,3.64155
1145,3.95731
1146,7.21544
1147,3.22854
1148,3.24079
1149,2.98666
1150,2.24934
1151,2.15931
1152,4.04091
1153,1.48094
1154,2.83339
1155,2.26114
1156,1.68152
1157,1.64164
1158,1.93650
1159,3.41694
1160,2.68726
1161,2.68631
1162,2.13203
1163,9.64135
1164,3.77521
1165,2.57154
1166,2.38517
1167,2.85579
1168,3.93265
1169,2.32537
1170,2.48231
1171,3.46249
1172,2.44643
1173,4.21524
1174,4.05900
1175,3.18736
1176,5.31405
1177,3.40776
1178,2.93089
1179,3.19423
1180,2.04884
1181,2.66490
1182,2.32480
1183,2.49101
1184,3.39517
1185,3.02350
1186,3.22695
1187,3.91548
1188,2.72270
1189,3.45967
1190,2.46087
1191,3.74318
1192,2.27081
1193,2.75668
1194,2.79180
1195,4.16869
1196,3.03863
1197,3.21472
1198,4.57589
1199,1.82276
1200,2.31920
1201,2.97210
1202,3.19613
1203,2.50810
1204,3.13356
1205,5.81152
1206,2.38946
1207,3.63999
1208,2.78346
1209,1.97731
1210,2.86408
1211,3.75709
1212,2.43050
1213,2.90078
1214,3.65006
1215,2.76285
1216,4.90822
1217,2.93408
1218,3.01318
1219,2.92419
1220,2.56766
1221,5.81365
1222,4.01064
1223,2.30491
1224,2.78390
1225,3.10867
1226,2.60376
1227,3.16406
1228,3.83496
1229,3.57641
1230,2.50576
1231,3.19746
1232,3.46481
1233,2.63960
1234,3.62161
1235,2.22933
1236,2.83813
1237,4.09694
1238,2.68875
1239,4.37031
1240,4.28087
1241,4.16813
1242,2.43552
1243,3.42363
1244,8.29815
1245,3.02294
1246,2.80035
1247,3.22756
1248,2.94061
1249,4.72128
1250,2.01464
1251,3.37294
1252,1.77690
1253,2.72651
1254,3.23698
1255,2.52293
1256,3.08766
1257,2.83356
1258,2.78716
1259,2.75447
1260,3.11352
1261,1.86976
1262,4.08779
1263,2.66686
1264,1.87969
1265,2.12090
1266,2.59629
1267,2.84586
1268,2.50347
1269,3.03050
1270,2.24460
1271,3.37868
1272,4.91944
1273,6.91036
1274,3.42685
1275,2.93692
1276,4.27736
1277,2.35948
1278,3.24437
1279,2.92271
1280,3.59378
1281,2.52709
1282,2.44076
1283,2.31330
1284,2.97164
1285,2.45823
1286,2.08645
1287,2.57259
1288,3.45869
1289,2.55803
1290,2.59327
1291,3.14568
1292,3.52457
1293,3.86122
1294,3.58307
1295,2.86881
1296,4.97641
1297,4.20039
1298,3.14935
1299,2.17448
1300,2.63540
1301,2.94050
1302,4.58548
1303,3.33107
1304,3.78866
1305,2.56168
1306,2.22104
1307,4.00669
1308,2.45261
1309,5.15036
1310,3.70808
